Engines,CC/Battery Capacity,Total Speed
Electric Motor,77.4 kWh,230 km/h
3.5L V6,3500 cc,220 km/h
3.6L V6 Gasoline,3600 cc,210 km/h
2.0L Turbo I4,1984 cc,250 km/h
3.2L VR6,3189 cc,250 km/h
2.3L EcoBoost / 3.0L V6,"2,300 - 3,000 cc",200 km/h
3.0L V6 Diesel / 6.0L W12 Gas,2967 cc / 5998 cc,250 km/h
I3,"1,499 cc",213 km/h
V8,"3,993 cc",305 km/h
2.2L Diesel Turbo,"2,200 cc",175 km/h
2.9L Twin-Turbo V6 + Electric Motor,2894 cc,280 km/h
2.0L Turbo Inline-4 Gasoline,2000 cc,220 km/h
Tri Electric Motors,100 kWh,262 km/h
V10,"5,204 cc",325 km/h
2.8L Turbo Diesel I4,2800 cc,160 km/h
6.6L V8 engine,"6,600 cc",170 km/h
1.6L Hybrid Turbocharged 4-Cylinder,1591 cc,200 km/h
2.0L I4 Turbo,1984 cc,240 km/h
660cc Inline-3,660 cc,130 km/h
ELECTRIC MOTOR,11.6 kwh,250 km/h
Dual Electric Motors,87 kWh,200 km/h
2.2L Varicor Diesel,2179 cc,180 km/h
4.0L V6,3954 cc,200 km/h
3.5L Twin-Turbo V6,"3,500 cc",348 km/h
V6,"3,500 cc (V6)",190 km/h
Electric,35.8 kWh,140 km/h
BOXER-4,"2,387 cc",226 km/h
Dual Electric Motors,100 kWh,177 km/h
V12,"5,204 cc",322 km/h
2.5L Turbocharged 4-Cylinder,2500 cc,220 km/h
1.6L Inline-4,1595 cc,175 km/h
1.6L Turbocharged 4-Cylinder,1591 cc,220 km/h
2.4L Diesel Turbo,"2,400 cc",177 km/h
1.2L Turbocharged Inline-4,1197 cc,190 km/h
1.5L Turbocharged I4 engine,"1,490 cc",200 km/h
3.8L V6,3778 cc,240 km/h
2.9L V6 Twin Turbo,2894 cc,270 km/h
6.2L V8 Gasoline,6200 cc,200 km/h
1.5L Turbo,"1,500 cc",180 km/h
I4 Petrol,1999 cc (I4),225 km/h
V12,"5,935 cc",328 km/h
I6,"1,969 cc",220 km/h
ELECTRIC MOTOR,75 KWH,130 km/h
"Electric motors with up to 11,500 lb-ft torque",200 kWh,170 km/h
2.5L 4-Cylinder,"2,500 cc",190 km/h
2.0L Twin-Rotor Turbo,"2,000 cc",240 km/h
5.3L V8 engine,"5,327 cc",210 km/h
1.8L Inline-4,"1,800 cc",190 km/h
1.5L Hybrid,1497 cc,200 km/h
I3,"1,499 cc",200 km/h
1.2L Revotron 3-cylinder Petrol,1199 cc,170 km/h
Dual Electric Motors (AWD),82 kWh,261 km/h
Hybrid I4 + Electric Motor,"1,598 cc (petrol) + Electric Motor",235 km/h
1.5L Turbo I4,1498 cc,183 km/h
3.0L Twin-Turbo Flat-6,2981 cc,293 km/h
2.5L Diesel,"2,500 cc",170 km/h
3.6L V6 Pentastar Gasoline,3600 cc,177 km/h
2.5L Inline-4 + Electric,"2,500 cc",180 km/h
V6 Petrol,2995 cc (V6),250 km/h
2.0L Turbo Flat-4,1988 cc,275 km/h
660cc Inline-3,660 cc,140 km/h
3.6L V6 Gasoline,3600 cc,220 km/h
6.2L V8 engine,"6,162 cc",210 km/h
I4,"2,998 cc",250 km/h
V6,"2,995 cc",250 km/h
2.0L I4 Turbo / 3.6L V6 Gas,1984 cc / 3597 cc,190 km/h
2.5L Turbo Diese,,140 km/h
1.6L Inline-4,"1,590 cc",180 km/h
1.3L Wankel + Electric,"1,308 cc",180 km/h
I4 + ELECTRIC,"1,600 cc / 1.49 kwh",180 km/h
V12,"6,592 cc",250 km/h
1.8L Inline-4,"1,800 cc",200 km/h
Inline-4,"1,499 cc",190 km/h
Dual Electric Motors,93.4 kWh,250 km/h
I4,"1,998 cc",210 km/h
1.2L Diesel I3,1199 cc,190 km/h
1.6L Inline-4,1597 cc,185 km/h
1.4L I4 Turbo + Electric Motor,1395 cc,210 km/h
Turbocharged V6,"3,500 cc",180 km/h
0.7L 3-Cylinder,660 cc,120 km/h
3.6L V6 Gasoline,3600 cc,210 km/h
3.2L Diesel Turbo,"3,200 cc",180 km/h
Hybrid I4,"1,598 cc (petrol) + Electric Motor",235 km/h
3.0L V6 Turbo,2960 cc,215 km/h
1.4L I4 Turbo / 2.0L Diesel I4,1395 cc / 1968 cc,200 km/h
V10,"5,204 cc",325 km/h
2.4L Inline-4,2389 cc,160 km/h
I4,"1,998 cc",240 km/h
I4 Turbo Diesel,"2,000 cc",180 km/h
I4,"1,998 cc",230 km/h
V8,"3,900 cc",320 km/h
2.7L Turbo Diesel,2663 cc,160 km/h
V10,"5,204 cc",325 km/h
